Project Name,Chain,Utility Contract Address,Description,Logo,Project/Dapp Website,App Type
Moonwell Artemis,Moonbeam,"0x511aB53F793683763E5a8829738301368a2411E3,0x8e00d5e02e65a19337cdba98bba9f84d4186a180,0x091608f4e4a15335145be0a279483c0f8e4c7955,0x8568a675384d761f36ec269d695d6ce4423cfab1,0xd22da948c0ab3a27f5570b604f3adef5f68211c3,0x933fcdf708481c57e9fd82f6baa084f42e98b60e,0x1c55649f73cda2f72cef3dd6c5ca3d49efcf484c,0x02e9081dfadd37a852f9a73c4d7d69e615e61334,0xe5ef9310cc7e3437bad83466675f24fd62a380c3,0x744b1756e7651c6d57f5311767eafe5e931d615b,0xfc4dfb17101a12c5cec5eedd8e92b5b16557666d,0xb6c94b3a378537300387b57ab1cc0d2083f9aeac,0xc3090f41eb54a7f18587fd6651d4d3ab477b07a4,0xaaa20c5a584a9fecdfedd71e46da7858b774a9ce,0x24a9d8f1f350d59cb0368d3d52a77db29c833d1d,0x298f2e346b82d69a473bf25f329bdf869e17dec8,0xddbf679d6332d9e5b409865b9671d1927255b52a",Moonwell Artemis is an open lending and borrowing protocol built on Moonbeam.,https://dashboard-assets.dappradar.com/document/19996/moonwellartemis-dapp-Defi-moonbeam-logo_cb96e627d9e10011832b53e865a73cca.png,moonwell.fi,Defi
Omnisea,Moonbeam,0x16b26B9328b1B64e4Aad6326C7cb94B2e8A96B4e,Omnichain NFTs- Create collections and mint between blockchains without switching networks.,https://dashboard-assets.dappradar.com/document/20026/omnisea-dapp-collectibles-ethereum-logo_8b6a2e6a3d40fc29530e5523f8a22799.png,omnisea.org,Marketplaces
PADSwap,Moonbeam,"0x7C33896Ce19831dc170d99330878688a5f6DF614,0x2ab109CA2BfAEdE0b167dFeAE089294486b68d6d",DEX|AMM for TOAD.Network\n\nCreating Sustainable #Defi\n\n#LaunchPAD #GameFi #Yieldfarming\n\nSupporting Cross Chain #BSC #Moonbeam #Moonriver,https://dashboard-assets.dappradar.com/document/14127/padswap-dapp-Defi-bsc-logo_726b7f59319a99ecf040bed7cbc6e2e8.png,padswap.exchange,Defi
Polkamarkets,Moonbeam,0x8b29344f368b5FA35595325903fE0eAab70C8E1F,"We built an autonomous prediction market EVM protocol for traders & bettors. Now building tools, incentives, SDKs and a V2",https://dashboard-assets.dappradar.com/document/12795/polkamarkets-dapp-Defi-moonriver-logo_1b888d7ded99cad0ca0c266f57653405.png,www.polkamarkets.com,Defi
Raresama,Moonbeam,0xFFfffFFecB45aFD30a637967995394Cc88C0c194,"Leading NFT marketplace in the Polkadot ecosystem, governed by Moonsama and Exosama communities, and dedicated to prioritizing artists and creativity.",https://dashboard-assets.dappradar.com/document/18989/raresama-dapp-Marketplaces-moonbeam-logo_f6b2dfa36089219ea16d0aa718685c9d.png,raresama.com,Marketplaces
Solarflare,Moonbeam,0x0edaed5746ac96641aa39ef1fad5aed71668e7ca,"Shine a light on Defi, powering Moonbeam",https://dashboard-assets.dappradar.com/document/13425/solarflare-dapp-Exchanges-moonbeam-logo_995c2fecb2ec6220f353ae5ebfbbe71c.png,solarflare.io,Exchanges
StellaSwap,Moonbeam,"0x0E358838ce72d5e61E0018a2ffaC4bEC5F4c88d2,0x06A3b410b681c82417A906993aCeFb91bAB6A080,0x0d4f8a55a5b2583189468ca3b0a32d972f90e6e5,0x1ff2adaa387dd27c22b31086e658108588eda03a","StellaSwap is the first and leading Moonbeam DEX that offers an integrated gateway to the Defi world. Users can swap, earn, yield farm, bridge assets.",https://dashboard-assets.dappradar.com/document/13814/stellaswap-dapp-Defi-moonbeam-logo_792bf26d19f5141665e0048767108717.png,stellaswap.com,Exchanges
Synapse,Moonbeam,0xf44938b0125a6662f9536281ad2cd6c499f22004,Synapse is a cross-chain layer ∞ protocol powering frictionless interoperability between blockchains.,https://dashboard-assets.dappradar.com/document/13910/synapse-dapp-Defi-ethereum-logo_d5a92dd241529d016a44662a13cb6760.png,synapseprotocol.com,Defi
The Great Escape,Moonbeam,0xdf5c3512aa22bc8a5e13471d6b8f752344e3e5b2,The Great Escape is the first web3 game deployed on Moonbeam network. \nPick up your favorite GLMR JUNGLE NFT and embark in a fruit picking adventure!,https://dashboard-assets.dappradar.com/document/18656/thegreatescape-dapp-games-moonbeam-logo_6e4b21ee0c32c304dd4885b3eb46642d.png,game.glmrjungle.com,Games
TOAD.Network,Moonbeam,0xF480f38C366dAaC4305dC484b2Ad7a496FF00CeA,Creating Sustainable #Defi\n\nMoonbeam #DEX | #LaunchPAD | #YieldFarming | #GameFi,https://dashboard-assets.dappradar.com/document/12115/toadnetwork-dapp-Defi-bsc-logo_ecece9248b78ed22558758af521da1bc.png,toad.network,Defi
Treasureland,Moonbeam,0x691A98fB3B5b9bdfc240ec3aada3D97eb867483c,"Treasureland is a cross-chain NFT platform for NFT issuance, NFT trading, NFT collections and tailored in-shop services.",https://dashboard-assets.dappradar.com/document/5578/treasureland-dapp-Marketplaces-bsc-logo_05e658325a924a3aad1cbeb22e236c75.png,treasureland.market,Marketplaces
WePiggy,Moonbeam,0x33A32f0ad4AA704e28C93eD8Ffa61d50d51622a7,"WePiggy is an open source, non-custodial crypto asset lending market protocol.",https://dashboard-assets.dappradar.com/document/5992/wepiggy-dapp-Defi-ethereum-logo_85fb11857ddd323f2a07c5f459582c81.png,wepiggy.com,Defi
Yanda,Moonbeam,0xd5582D46F20f08CD6133aceCdE1456DF635cCdcC,Hybrid Finance protocol linking CeFi and Defi,https://dashboard-assets.dappradar.com/document/18393/yanda-dapp-Defi-moonbeam-logo_8d96e715590da3e64fe41e0e253377c2.png,yanda.io,Defi
Zenlink,Moonbeam,0x3Fd9b6C9A24E09F67b7b706d72864aEbb439100C,Zenlink is a cross-chain DEX protocol based on Polkadot,https://dashboard-assets.dappradar.com/document/12796/zenlink-dapp-Defi-moonriver-logo_b79a57bbe855514c4c88c50053e03a16.png,dex.zenlink.pro,Defi
